drug_id,drug_name,synonyms,pathway_name,targets,pubchem
1559,Luminespib,"AUY922, VER-52296,NVP-AUY922,  AUY","Protein stability and degradation",HSP90,10096043
1372,Trametinib,"GSK1120212, Mekinist","ERK MAPK signaling","MEK1, MEK2",11707110
1909,Venetoclax,"ABT-199, Veneclexta, GDC-0199","Apoptosis regulation",BCL2,49846579
1017,Olaparib,"AZD2281, KU0059436,  Lynparza","Genome integrity","PARP1, PARP2",23725625
1021,Axitinib,"AG-13736, Inlyta","RTK signaling","PDGFR, KIT, VEGFR",6450551
1084,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","PI3K/MTOR signaling",MTORC1,5384616
1131,PRIMA-1MET,"Prima 1MET, APR-246","p53 pathway","TP53 activation",52918385
1259,Talazoparib,"BMN-673, BMN 973","Genome integrity","PARP1, PARP2",44819241
1615,CZC24832,GTPL6653,"PI3K/MTOR signaling",PI3Kgamma,42623951
1620,PFI3,"PFI-3, PFI 3, AOB2221","Chromatin other","Polybromo 1, SMARCA4, SMARCA2",78243717
1622,Wnt-C59,"AOB3540, AK161197","WNT signaling",PORCN,57519544
1626,OTX015,"Birabresib, OTX-015, MK-8628","Chromatin other","BRD2, BRD3, BRD4",9936746
1627,GSK343,"GTPL8240, AOB3680, AK175558","Chromatin histone methylation",EZH2,71268957
1634,AGI-6780,AK162157,Metabolism,"IDH2 R140Q mutant",71299339
1813,Fludarabine,Fludara,Unclassified,-,-
1854,MN-64,-,"WNT signaling","TNKS1, TNKS2",2802462
1913,AGI-5198,IDH-C35,Metabolism,"IDH1 (R132H)",56645356
1915,AZD3759,-,"EGFR signaling",EGFR,78209992
1932,NVP-ADW742,"NVP ADW742, NVPADW742","IGF1R signaling",IGF1R,9825149
1933,P22077,"P 22077, P-22077","Protein stability and degradation","USP7, USP47",46931953
1997,WEHI-539,"WEHI539, WEHI-539","Apoptosis regulation",BCL-XL,71297207
2040,Foretinib,"GSK1363089, XL-880, EXEL-2880, GSK089","RTK signaling","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",42642645
2106,Uprosertib,"GSK2141795, GSK2141795C, GSK-2141795","PI3K/MTOR signaling","AKT1, AKT2, AKT3",51042438
1716,IRAK4_4710,"SN1050852374, IRAK4_4710","Other, kinases",IRAK4,-
1083,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066","RTK signaling","MET, ALK, ROS1",11626560
1594,OSI-027,A-1065-5,"PI3K/MTOR signaling","MTORC1, MTORC2",44224160
1012,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","Chromatin histone acetylation","HDAC inhibitor Class I, IIa, IIb, IV",5311
1375,Temozolomide,"Temodar, Temodal, M-39831, SCH 52365","DNA replication","DNA alkylating agent",5394
1007,Docetaxel,"RP-56976, Taxotere",Mitosis,"Microtubule stabiliser",148124
1050,ZM447439,"ZM-447439, ZM 447439",Mitosis,"AURKA, AURKB",9914412
1059,AZD8055,AZD-8055,"PI3K/MTOR signaling","MTORC1, MTORC2",25262965
2048,Vinorelbine,"vinorelbine tartrate, Navelbine, Exelbine",Mitosis,"Microtubule destabiliser",5311497
1557,LCL161,-,"Apoptosis regulation","XIAP, IAP1, IAP2",24737642
1799,Ibrutinib,"PCI-32765, CRA-032765, PCI-32765-00","Other, kinases",BTK,24821094
1804,Acetalax,"Oxyphenisatin acetate",Unclassified,-,-
1807,Carmustine,-,"DNA replication",-,-
1808,Topotecan,-,"DNA replication",-,-
1818,Vincristine,-,Mitosis,-,-
